Run ID,Date,Total,Passed,Failed,Skipped,Timed Out,Pass Rate (%),Duration (ms)
"eeeb300f-c389-43ea-b7ec-e3f6a1515893","8/17/2026, 12:15:04 PM",12,11,1,0,0,92,22246.310999999998
"a3b92ecb-069f-4bce-957d-0c4a1aaba4b2","8/17/2026, 8:15:04 AM",12,12,0,0,0,100,21038.094999999998
"499fae93-6897-4354-9a13-5d9bb63cf167","8/17/2026, 4:15:04 AM",12,12,0,0,0,100,20006.769
"a3ae90ee-56f8-4585-b3bb-e2c45d37078d","8/17/2026, 12:15:03 AM",12,12,0,0,0,100,19408.773999999998
"52d319e4-c581-472b-b41b-d1f25654076b","8/16/2026, 8:15:04 PM",12,12,0,0,0,100,20396.157
"fc648a11-f9e7-44ef-8c3e-cfc17b02d2a8","8/16/2026, 4:15:03 PM",12,12,0,0,0,100,19733.737999999998
"9b0a0bb8-fe5e-4686-8798-4ae5bad52221","8/16/2026, 12:15:04 PM",12,12,0,0,0,100,20033.121
"a203d52d-8a76-4b39-87b9-852674d92aea","8/16/2026, 8:15:03 AM",12,12,0,0,0,100,22013.397
"894ba3f6-420d-4d63-8f69-2ed5dc102698","8/16/2026, 4:15:03 AM",12,12,0,0,0,100,20519.214
"04178299-b0a5-4585-8214-c08970a77012","8/16/2026, 12:15:03 AM",12,12,0,0,0,100,21821.908
"8b1f4a31-f006-4e9d-8b89-5efaabd5ad49","8/15/2026, 8:15:04 PM",12,12,0,0,0,100,20814.126
"0648f2b9-2238-4943-b463-3f51740804f1","8/15/2026, 4:15:04 PM",12,12,0,0,0,100,22713.055
"9ec38700-0bfe-4dc9-b1c0-4c77bff36ccd","8/15/2026, 12:15:03 PM",12,12,0,0,0,100,20207.869
"30807103-d8cb-49ce-bdbe-c8623482cc0d","8/15/2026, 8:15:03 AM",12,12,0,0,0,100,20635.966
"8297efa7-cb30-4e73-a7c0-2f62663c380e","8/15/2026, 4:15:04 AM",12,12,0,0,0,100,20335.073999999997
"5dc9ba2c-074e-47cd-a077-dbf8e75b1eac","8/15/2026, 12:15:04 AM",12,12,0,0,0,100,21496.803
"896f9802-e799-4ff9-84ad-408d385eddcf","8/14/2026, 8:15:04 PM",12,12,0,0,0,100,20609.823999999997
"c909d1b0-8d10-4639-a4f0-f7845eb39cfe","8/14/2026, 4:15:04 PM",12,12,0,0,0,100,19835.847999999998
"8cbd1170-9284-427d-9786-7cc31ae5574a","8/14/2026, 12:15:03 PM",12,11,1,0,0,92,23760.717999999997
"f03e324b-5c04-4304-8329-72ec47ea3484","8/14/2026, 8:15:04 AM",12,12,0,0,0,100,20547.781
"d53cf455-a130-405e-8f6e-9512c4eae668","8/14/2026, 4:15:04 AM",12,12,0,0,0,100,21278.263
"cd6e1ce8-99ee-4433-a3e3-dfe8c37bc318","8/14/2026, 12:15:04 AM",12,12,0,0,0,100,20354.906
"a1aea71c-6398-45ea-b3bd-d322d1157f8a","8/13/2026, 8:15:04 PM",12,12,0,0,0,100,21086.402000000002
"fc312102-c3f8-4ff3-9ac9-145b5c0b74de","8/13/2026, 4:15:03 PM",12,12,0,0,0,100,21785.978
"1a772df8-f9e1-463b-92db-9971f058b841","8/13/2026, 12:15:04 PM",12,12,0,0,0,100,22041.869
"fc885d7b-f21c-48c7-b0aa-cfe3a6675772","8/13/2026, 8:15:03 AM",12,12,0,0,0,100,22390.286
"692ae359-37dc-4810-91d6-9b12bf68a049","8/13/2026, 4:15:03 AM",12,12,0,0,0,100,24714.95
"757e245a-55ec-4023-9f30-9533b71d6534","8/13/2026, 12:15:04 AM",12,12,0,0,0,100,23365.766000000003
"64aab5e7-7d1c-4e61-9525-5af05855f29f","8/12/2026, 8:15:03 PM",12,12,0,0,0,100,24662.877
"8cf0c4ff-ea84-415d-8669-587eb29fac5c","8/12/2026, 4:15:04 PM",12,12,0,0,0,100,21737.15
"94c902f2-45d2-4ebc-b2aa-3516bdaf75d7","8/12/2026, 12:15:03 PM",12,12,0,0,0,100,21328.736
"dba87a46-4595-47eb-a107-6ea40b0df1f0","8/12/2026, 8:15:04 AM",12,12,0,0,0,100,21877.662999999997
"53ef47dc-34d0-4eec-a2a1-0bcdecafab23","8/12/2026, 4:15:04 AM",12,12,0,0,0,100,23667.888
"52ef5990-afcd-4c5b-928c-8719533c3fb5","8/12/2026, 12:15:04 AM",12,12,0,0,0,100,23677.857
"1eef4d0a-4499-41ed-aec1-70879bbf4b59","8/11/2026, 8:15:04 PM",12,12,0,0,0,100,22667.756
"4ad23ebc-8e03-4b9b-9a47-fa7278fb18c7","8/11/2026, 4:15:04 PM",12,12,0,0,0,100,23034.384
"ee4ab50a-d5ff-4353-86a9-54f7bf5a0a7a","8/11/2026, 12:15:03 PM",12,12,0,0,0,100,23281.07
"583ae600-a8a0-4487-bf5d-614767eb603d","8/11/2026, 8:15:03 AM",12,10,2,0,0,83,9968.643
"c1e7039f-2a1e-4093-94c3-253bace6a2a5","8/11/2026, 4:15:04 AM",12,10,2,0,0,83,9814.447
"c45b083c-6d3f-4332-b7f5-439d9f12bf05","8/11/2026, 12:15:03 AM",12,10,2,0,0,83,10224.025000000001
"bb9b3813-fb0b-430a-a3bf-e6ad8e3d40c8","8/10/2026, 8:15:03 PM",12,10,2,0,0,83,11196.192
